,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,Highway Newwyork City,1 BHK Flat for rent,"₹6,000 /month",None,None,1 Bedroom,2 Bathrooms,1 Balcony,None,593,"Highway Newwyork City
Rau, Indore",All,None,None,"Dealer on Jun 06, 2024",Vitrified,1st   of 6 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Park
Security Personnel
Airy Rooms
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",3.4
1,Amrit Palace,3 Bedroom House for rent,"₹26,000 /month",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,Mirchandani Shalimar Palms,2 BHK Flat for rent,"₹20,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,None,1200,"Mirchandani Shalimar Palms
Bicholi Mardana, Indore",All,None,None,"Dealer on Jun 05, 2024",Vitrified,6th   of 7 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges included,"Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Park
Visitor Parking",4.0
