,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
936,0.65,4814.0,10.0,1,1.0,1350.0,,,False,True,False,False,False,2
937,0.55,5238.0,5.0,1,1.0,,,1050.0194204999998,False,False,False,False,False,0
938,0.56,8553.0,7.0,1,1.0,,,650.0325249,False,False,False,False,False,0
939,0.75,10204.0,11.0,1,1.0,735.0,,,False,False,False,False,False,0
940,2.1,7467.0,2.0,1,1.0,2812.0,2600.0,2400.0,False,False,False,False,False,0
941,0.85,6789.0,3.0,1,1.0,1252.0,,,False,False,False,False,False,0
942,0.3,5555.0,0.0,0,1.0,,4860.0,,False,False,False,False,False,0
943,0.36,8990.0,7.0,1,1.0,406.0,,402.0,False,False,False,False,False,0
944,0.85,5878.0,10.0,1,1.0,1446.0,1269.0,777.0,False,True,False,False,False,0
945,1.51,6387.0,6.0,1,1.0,2364.0,2362.0,2360.0,True,False,True,False,False,2
946,1.5,10714.0,8.0,1,1.0,1578.0,,1400.0,False,False,True,False,False,2
947,1.2,8450.0,6.0,1,1.0,1420.0,,,False,False,False,False,False,0
948,0.35,6076.0,12.0,1,1.0,576.0,,,False,False,False,False,False,0
949,4.6,18400.0,11.0,1,1.0,3300.0,,2500.0,True,True,True,True,False,0
950,2.0,8333.0,2.0,1,1.0,2400.0,,,True,False,False,False,False,2
951,27.5,24366.0,0.0,0,3.0,,11286.0,,True,True,True,False,True,2
952,0.7,5384.0,13.0,1,1.0,1300.0,,,False,True,False,False,False,0
953,7.0,10000.0,0.0,0,4.0,,7000.0,,False,False,True,False,False,2
954,0.46,6478.0,6.0,1,1.0,,,709.9875035999999,False,False,False,False,False,1
955,0.96,6571.0,14.0,1,1.0,1457.0,,849.0,False,True,False,False,False,0
956,1.1,12022.0,7.0,1,1.0,,915.0399891,700.0,False,False,False,False,False,0
957,0.65,6190.0,1.0,1,1.0,,,1050.0194204999998,False,False,False,False,False,2
958,1.42,8875.0,7.0,1,1.0,2390.0,2000.0,1600.0,True,True,False,False,False,0
959,18.25,18250.0,0.0,0,4.0,,,10000.0,True,True,True,True,False,2
960,0.75,4745.0,2.0,1,1.0,1454.0,1415.0,1350.0,False,False,False,False,True,2
961,1.75,7201.0,7.0,1,1.0,2430.0,2200.0,1800.0,True,False,False,False,False,2
962,1.97,7490.0,11.0,1,1.0,2630.0,,,True,False,True,False,False,0
963,1.65,13750.0,0.0,0,1.0,,1199.9606867999998,,False,False,False,False,False,0
964,3.0,11516.0,14.0,1,1.0,2605.0,,,True,False,False,False,False,2
965,0.95,9223.0,11.0,1,1.0,1340.0,,1030.0,False,False,True,True,False,2
966,1.25,6097.0,18.0,1,1.0,,,2049.9866595,True,False,False,False,False,0
967,0.2,6644.0,3.0,1,1.0,,,300.9589236,False,False,False,False,False,0
968,1.1,9020.0,13.0,1,1.0,1245.0,,1225.0,False,False,False,False,False,0
969,1.35,7541.0,10.0,1,1.0,1790.0,,1130.0,False,False,False,True,False,2
970,7.65,19125.0,0.0,0,2.0,,3999.9765951,,True,True,False,False,True,0
971,3.65,12312.0,14.0,1,1.0,2802.0,2225.56,,True,False,False,False,False,2
972,2.3,15551.0,23.0,1,1.0,,1478.961234,,False,False,False,False,False,0
973,1.95,9701.0,0.0,1,1.0,2010.0,,,False,False,False,False,False,0
974,0.37,9390.0,0.0,0,3.0,,3546.0,,False,False,False,False,False,0
975,1.45,9062.0,9.0,1,1.0,1495.0,1494.0,,False,True,False,False,False,0
976,3.25,9672.0,2.0,1,1.0,3360.0,,,True,False,False,False,False,0
977,0.54,7248.0,1.0,1,1.0,,,744.9702110999999,False,False,False,False,False,0
978,1.9,9743.0,10.0,1,1.0,1950.0,,,True,False,True,True,True,0
979,1.42,8606.0,4.0,1,1.0,1650.0,,1022.0,False,False,False,False,True,0
980,1.65,5960.0,12.0,1,1.0,2768.0,,,True,False,False,False,False,0
981,8.4,25926.0,0.0,0,2.0,,3240.0,,True,False,True,False,False,2
982,1.68,10071.0,0.0,1,1.0,1668.0,,,False,False,False,False,False,0
983,0.65,4814.0,6.0,1,1.0,1350.0,,,False,True,False,False,False,0
984,6.0,21097.0,0.0,0,3.0,,2844.0,,True,True,True,True,False,2
985,1.52,13342.0,6.0,1,1.0,1400.0,1250.0,1139.2,False,False,False,True,False,0
986,11.0,35483.0,7.0,1,1.0,,,3100.00608,True,True,True,False,False,0
987,3.05,11338.0,15.0,1,1.0,2690.0,2600.0,2240.0,True,False,False,False,False,0
988,1.1,8461.0,0.0,1,1.0,1300.0,,788.0,False,True,False,False,False,0
989,0.32,5786.0,11.0,1,1.0,553.0,,453.5,False,False,False,False,False,0
990,1.15,6052.0,5.0,1,1.0,1900.0,1305.0,1173.0,True,True,False,False,False,0
991,0.74,5441.0,11.0,1,1.0,1360.0,,,False,False,False,False,True,0
992,1.47,16256.0,9.0,1,1.0,,,84.01,False,True,False,False,False,0
993,0.43,6615.0,2.0,1,1.0,,,650.0325249,False,False,False,False,False,0
994,0.95,4856.0,4.0,1,1.0,1956.0,,,False,False,False,False,False,0
995,2.35,11767.0,8.0,1,1.0,1997.0,1950.0,1850.0,False,False,False,False,False,2
996,0.6,4546.0,11.0,1,1.0,1320.0,,,False,False,False,False,True,0
997,1.29,8206.0,4.0,1,1.0,1572.0,,,False,False,False,False,False,0
998,0.23,6527.0,4.0,1,1.0,,,360.0527895,False,False,False,False,False,0
999,2.7,10481.0,18.0,1,1.0,2576.0,,1306.0,True,False,False,False,False,0
1000,2.0,14954.0,0.0,0,3.0,,12036.6,,False,False,False,False,False,0
1001,2.8,18667.0,0.0,0,2.0,,1499.9508585,,False,False,False,False,False,0
1002,8.25,28000.0,8.0,1,1.0,2940.0,,,True,False,False,False,False,1
1003,1.75,8139.0,2.0,1,1.0,2150.0,,,True,False,False,False,True,0
1004,0.8,8888.0,0.0,0,1.0,,900.0,,False,False,False,False,False,0
1005,1.9,8172.0,10.0,1,1.0,2325.0,1920.0,1750.0,True,True,True,False,True,0
1006,1.25,8620.0,1.0,1,1.0,,,1450.0063161,True,False,False,False,False,2
1007,0.7,9722.0,0.0,0,3.0,,720.0,,False,False,True,True,False,0
1008,7.0,39265.0,0.0,0,3.0,,16044.48,,True,False,False,False,False,0
1009,7.2,13333.0,0.0,0,4.0,,4680.0,,True,True,False,False,False,1
1010,2.0,7196.0,10.0,1,1.0,2779.0,2500.0,2300.0,True,False,True,False,False,2
1011,1.12,7146.0,6.0,1,1.0,1572.0,1325.0,1200.0,False,True,False,False,False,0
1012,4.94,16233.0,15.0,1,1.0,3043.0,,,True,False,False,False,False,0
1013,1.85,14800.0,3.0,1,1.0,,,1250.0128682999998,False,False,False,False,False,0
1014,0.5,7763.0,4.0,1,1.0,,671.9909012999999,644.0,False,False,False,False,False,1
1015,0.6,6667.0,1.0,1,1.0,,899.9705151,700.0,False,False,False,False,False,0
1016,2.45,8521.0,5.0,1,1.0,2875.0,,,True,False,False,False,False,0
1017,1.5,11111.0,0.0,0,3.0,,1350.0,,False,False,False,False,False,0
1018,10.45,32253.0,0.0,0,3.0,,3240.0,,True,True,True,False,True,2
1019,1.9,14074.0,21.0,1,1.0,1889.0,,1350.0,True,False,False,False,False,0
1020,16.0,37778.0,0.0,0,1.0,,4500.0,,False,True,True,True,False,0
1021,3.6,14815.0,0.0,0,2.0,,2430.0,,False,False,False,False,False,2
1022,1.6,6808.0,4.0,1,1.0,,,2349.9768312,True,True,True,False,False,0
1023,2.5,11715.0,1.0,1,1.0,,2134.0527966,,False,False,False,False,False,0
1024,3.75,22046.0,0.0,0,2.0,,1701.0,,False,False,True,False,False,2
1025,1.76,9263.0,6.0,1,1.0,1900.0,1500.0,1240.0,True,False,False,False,False,2
1026,2.1,12173.0,0.0,1,1.0,2175.0,1745.0,1725.0,True,True,False,False,False,0
1027,0.6,6000.0,3.0,1,1.0,1000.0,950.0,900.0,False,False,False,False,False,0
1028,1.45,7260.0,11.0,1,1.0,1997.0,,,True,False,False,False,True,2
1029,0.51,7906.0,9.0,1,1.0,,,644.9734872,False,False,False,False,True,0
1030,6.44,19000.0,7.0,1,1.0,3390.0,,,True,False,False,False,False,2
1031,5.75,24688.0,12.0,1,1.0,2329.0,1900.0,1700.0,True,False,False,False,False,1
1032,2.0,13333.0,5.0,1,1.0,1500.0,,,False,False,False,False,False,0
1033,0.98,8166.0,5.0,1,1.0,1445.0,1300.0,1200.0,False,False,False,False,False,2
1034,3.0,11111.0,0.0,0,1.0,,,2700.0191844,False,False,False,False,False,0
1035,0.28,3768.0,11.0,1,1.0,,743.0327073,643.0,False,False,False,False,False,0
1036,1.6,8376.0,13.0,1,1.0,1910.0,1700.0,1600.0,False,False,False,False,True,2
1037,1.25,5896.0,5.0,1,1.0,2120.0,1900.0,1800.0,True,False,False,False,False,2
1038,10.75,29861.0,0.0,0,3.0,,3600.0,,True,False,True,True,False,0
1039,1.6,6597.0,8.0,1,1.0,2425.0,,,True,False,False,False,False,0
1040,2.85,10936.0,2.0,1,1.0,2606.0,,1800.0,True,False,False,False,False,1
1041,1.7,8947.0,1.0,1,1.0,,,1900.0453932,False,False,False,False,False,2
1042,4.0,16004.0,0.0,0,2.0,,2430.0,,True,False,False,False,False,2
1043,1.9,9620.0,10.0,1,1.0,1975.0,,,True,False,False,False,False,2
1044,1.45,14179.0,10.0,1,1.0,1650.0,,1022.58,True,False,False,False,False,0
1045,1.33,5564.0,3.0,1,1.0,2390.0,,2000.0,True,False,False,False,False,0
1046,0.95,6333.0,9.0,1,1.0,,,1499.9508585,True,False,False,False,False,0
1047,0.53,6386.0,2.0,1,1.0,,,822.0398067,False,False,True,False,False,0
1048,3.5,25925.0,1.0,1,1.0,,,1350.0095921999998,False,False,False,False,False,0
1049,1.71,7804.0,7.0,1,1.0,,2190.9938805,,False,True,False,False,False,0
1050,1.0,41666.0,0.0,0,3.0,,240.035193,,False,False,False,False,False,0
1051,1.85,10176.0,15.0,1,1.0,1818.0,,1538.0,False,False,False,False,True,0
1052,3.75,13392.0,15.0,1,1.0,2800.0,,,True,False,False,False,False,0
1053,2.3,9387.0,10.0,1,1.0,2450.0,,,True,False,False,False,False,0
1054,0.9,5056.0,7.0,1,1.0,,1780.0277967,,False,False,False,False,False,0
1055,1.7,13502.0,7.0,1,1.0,1185.0,,,False,False,False,False,True,0
1056,7.5,16600.0,0.0,0,1.0,,4518.0,,True,True,True,False,False,2
1057,10.75,19500.0,10.0,1,1.0,5514.0,,,True,False,False,False,False,2
1058,1.78,9218.0,5.0,1,1.0,1931.0,,,True,False,False,False,False,0
1059,0.6,5660.0,3.0,1,1.0,,,1060.0298568,False,False,False,False,False,0
1060,1.2,9000.0,1.0,1,1.0,1250.0,,750.0,False,False,False,False,False,1
1061,1.27,6580.0,19.0,1,1.0,1930.0,1800.0,1450.0,True,False,True,False,False,0
1062,12.0,38986.0,0.0,0,4.0,,3078.0,,True,True,True,True,False,2
1063,2.01,8495.0,6.0,1,1.0,2366.0,,,True,False,False,False,False,0
1064,11.0,40741.0,0.0,0,2.0,,361.0,300.0,True,False,False,False,False,2
1065,1.05,5982.0,14.0,1,1.0,1755.0,,,True,True,True,True,False,2
1066,1.43,9039.0,1.0,1,1.0,1578.0,,,False,False,True,False,False,0
1067,12.5,38580.0,0.0,0,2.0,,3240.0,,True,True,False,False,False,2
1068,0.7,7007.0,0.0,0,1.0,,999.0,,False,False,True,True,False,0
1069,1.55,11923.0,7.0,1,1.0,,,1299.9574107,False,False,False,False,False,2
1070,2.6,8253.0,12.0,1,1.0,3150.0,,,True,False,False,False,False,0
1071,1.75,9210.0,11.0,1,1.0,1900.0,,1240.04,True,False,False,False,False,0
1072,1.2,7151.0,15.0,1,1.0,1671.0,1660.0,1650.0,False,False,False,False,False,0
1073,0.5,7142.0,2.0,1,1.0,,,699.9770672999999,False,False,False,False,False,0
1074,1.35,11157.0,0.0,0,4.0,,1209.9711231,,False,True,False,False,False,1
1075,9.2,19943.0,5.0,1,1.0,4613.0,,3203.0,True,False,True,False,False,2
1076,4.4,15278.0,0.0,0,3.0,,2880.0,,True,True,True,True,False,1
1077,1.4,10174.0,9.0,1,1.0,1376.0,,,False,False,False,True,False,2
1078,2.0,8305.0,8.0,1,1.0,2408.0,,,True,False,False,False,False,0
1079,1.0,6535.0,4.0,1,1.0,,,1529.9821673999998,False,True,False,False,False,0
1080,2.55,10408.0,5.0,1,1.0,2450.0,,2150.0,True,False,False,False,False,0
1081,2.95,20233.0,0.0,0,1.0,,1457.9716094999997,,False,False,False,False,False,0
1082,1.77,8078.0,15.0,1,1.0,2191.0,,1860.0,True,True,True,False,True,0
1083,6.15,15998.0,1.0,1,1.0,,,3844.0075392,True,False,False,False,False,1
1084,3.0,18271.0,14.0,1,1.0,,1642.0344705,1500.0,True,False,False,False,False,2
1085,0.75,20833.0,0.0,0,4.0,,360.0,,False,False,False,False,False,0
1086,0.95,6551.0,5.0,1,1.0,,,1450.0063161,False,False,False,False,False,2
1087,1.5,7776.0,15.0,1,1.0,1929.0,1550.0,1330.0,False,False,False,False,False,0
1088,1.6,9142.0,4.0,1,1.0,1750.0,,,False,False,False,False,False,0
1089,2.25,10553.0,6.0,1,1.0,2132.0,,,True,False,False,False,False,1
1090,1.65,30556.0,0.0,0,4.0,,540.0,500.0,False,False,False,False,True,1
1091,1.36,6542.0,2.0,1,1.0,1758.0,,986.0,True,True,False,False,False,2
1092,18.0,40000.0,0.0,0,3.0,,4500.0,,True,True,True,True,False,1
1093,1.1,6666.0,2.0,1,1.0,,,1649.9997638999998,False,False,False,False,False,0
1094,2.75,13750.0,5.0,1,1.0,,,2000.0421171,True,False,False,False,True,2
1095,5.25,11666.0,0.0,0,4.0,,4650.0,4500.0,True,False,False,False,False,2
1096,0.48,4367.0,11.0,1,1.0,1099.0,,,False,False,False,False,False,0
1097,2.5,17857.0,0.0,0,1.0,,1850.0,,False,False,False,True,False,0
1098,4.3,28782.0,0.0,0,3.0,,165.0,164.0,False,False,True,False,True,2
1099,1.1,9734.0,8.0,1,1.0,1760.0,1186.0,1130.0,True,False,False,False,False,2
1100,1.49,8105.0,20.0,1,1.0,1832.0,,1580.0,False,False,False,False,True,0
1101,1.3,8701.0,0.0,0,1.0,,1494.0,,False,False,False,False,False,0
1102,3.75,13392.0,12.0,1,1.0,2800.0,2650.0,2350.0,True,False,False,False,False,2
1103,0.35,6315.0,14.0,1,1.0,,,554.1260867999999,False,False,False,False,False,0
1104,1.29,7800.0,5.0,1,1.0,1629.0,,1628.0,False,True,False,False,True,0
1105,2.0,8733.0,4.0,1,1.0,2290.0,,,True,False,False,False,False,0
1106,0.85,5556.0,10.0,1,1.0,1350.0,,,False,True,False,False,True,0
1107,2.29,8240.0,8.0,1,1.0,,2779.0262838,,True,False,False,False,False,0
1108,4.0,13769.0,7.0,1,1.0,2905.0,,,True,False,False,False,False,0
1109,0.3,6666.0,14.0,1,1.0,,,450.0390771,False,False,False,False,False,2
1110,2.95,10350.0,7.0,1,1.0,,3149.9506224,2850.0,True,False,False,True,False,2
1111,1.62,13974.0,3.0,1,1.0,,129.42,107.7,True,False,False,False,False,0
1112,4.5,14286.0,0.0,0,3.0,,126.0,,False,True,True,False,True,2
1113,1.65,8461.0,6.0,1,1.0,,,1949.9899356,False,True,False,False,False,0
1114,1.25,6443.0,2.0,1,1.0,1940.0,,1056.0,False,False,True,False,False,0
1115,0.78,8047.0,2.0,1,1.0,1197.0,,,False,False,False,False,False,2
1116,0.36,6581.0,8.0,1,1.0,,,547.0219062,False,False,False,False,False,0
1117,3.7,15416.0,1.0,1,1.0,,,2400.0290127,False,False,False,False,False,0
1118,1.0,5923.0,11.0,1,1.0,1435.0,,,False,True,False,False,False,2
1119,19.0,31666.0,0.0,0,3.0,,,6000.0,True,False,True,True,False,2
1120,0.85,5979.0,9.0,1,1.0,1430.0,,,False,True,False,False,False,0
1121,0.8,8888.0,10.0,1,1.0,1380.0,1310.0,900.0,False,False,False,False,True,0
1122,0.27,2700.0,1.0,1,1.0,1000.0,,550.0,False,False,False,False,False,0
1123,3.6,14815.0,0.0,0,2.0,,2430.0,,True,True,True,False,True,1
1124,2.9,11600.0,0.0,0,2.0,,22500.0,,True,False,False,False,False,2
1125,1.05,5861.0,1.0,1,1.0,,1364.9714271,900.0,False,False,False,False,False,2
1126,2.35,11174.0,14.0,1,1.0,2103.0,1550.0,1257.0,True,True,True,False,True,1
1127,2.97,11401.0,8.0,1,1.0,2605.0,2600.0,2100.0,True,False,False,False,False,2
1128,0.39,6500.0,5.0,1,1.0,600.0,,500.0,False,False,False,False,False,0
1129,1.35,12784.0,4.0,1,1.0,,1056.0472100999998,912.0,False,False,False,False,False,0
1130,0.4,5882.0,3.0,1,1.0,,,679.9561947,False,False,False,False,False,0
1131,0.32,5517.0,7.0,1,1.0,,,579.9594708,False,False,False,False,False,0
1132,0.84,4869.0,8.0,1,1.0,1725.0,,,False,False,True,False,False,0
1133,0.3,6243.0,4.0,1,1.0,567.0,,480.53,False,False,False,False,False,1
1134,2.4,10825.0,5.0,1,1.0,2217.0,1940.0,1730.0,True,False,False,False,False,0
1135,0.3,5291.0,10.0,1,1.0,567.0,,467.0,False,False,False,False,False,0
1136,1.3,8349.0,18.0,1,1.0,1557.0,,,False,False,False,False,False,0
1137,0.75,6550.0,15.0,1,1.0,1145.0,1100.0,,False,False,False,False,False,2
1138,0.95,6713.0,1.0,1,1.0,1415.0,,,False,False,False,False,False,2
1139,0.5,5555.0,0.0,0,1.0,,8100.0,,False,False,False,True,False,0
1140,1.0,5128.0,1.0,1,1.0,,,1949.9899356,False,False,False,False,False,0
1141,0.6,6666.0,0.0,1,1.0,,,899.9705151,False,False,False,False,False,0
1142,1.85,7872.0,7.0,1,1.0,2350.0,,,True,False,False,False,False,0
1143,0.6,5714.0,1.0,1,1.0,1050.0,990.0,950.0,False,False,False,False,False,2
1144,0.49,11250.0,0.0,0,3.0,,3240.0,,False,False,False,False,False,0
1145,1.24,7122.0,10.0,1,1.0,1741.0,1730.0,1720.0,False,False,False,False,False,0
1146,0.37,10277.0,0.0,0,3.0,,3240.0,,False,False,False,False,False,0
1147,1.65,5892.0,8.0,1,1.0,,,2800.0159083,True,False,False,False,False,0
1148,1.9,9500.0,6.0,1,1.0,2000.0,,1218.03,True,False,False,False,False,2
1149,0.65,12059.0,3.0,1,1.0,,,538.9489737,False,False,False,False,False,0
1150,1.65,8872.0,1.0,1,1.0,,1577.9892059999995,,False,False,False,False,False,2
1151,3.99,8866.0,0.0,0,4.0,,40500.0,,True,False,True,False,False,2
1152,5.5,38194.0,0.0,0,4.0,,1440.0,,True,False,False,False,False,1
1153,10.0,400000.0,0.0,0,4.0,,2250.0,,True,True,False,False,False,2
1154,12.5,34722.0,0.0,0,2.0,,3600.0,,True,True,False,False,False,0
1155,0.71,5607.0,10.0,1,1.0,1275.0,,,False,False,False,False,False,0
1156,7.0,21605.0,0.0,0,1.0,,3240.0,,True,True,True,False,False,2
1157,6.5,10416.0,11.0,1,1.0,,4799.9503863,,False,False,False,False,False,0
1158,1.25,7179.0,10.0,1,1.0,1741.0,1730.0,1720.0,False,False,False,False,False,0
1159,0.48,6000.0,1.0,1,1.0,,,799.9737911999998,False,False,False,False,False,0
1160,0.4,7359.0,11.0,1,1.0,,,543.577455,False,False,False,False,False,0
1161,2.2,10476.0,17.0,1,1.0,2100.0,,,True,False,False,False,False,1
1162,1.38,8972.0,12.0,1,1.0,1538.0,,,False,False,False,False,False,0
1163,3.25,10105.0,14.0,1,1.0,3216.0,,,False,False,True,False,True,0
1164,1.2,6593.0,7.0,1,1.0,1820.0,,,False,False,False,False,False,0
1165,4.7,18008.0,0.0,0,3.0,,2610.0,,False,False,False,False,True,0
1166,2.03,7230.0,3.0,1,1.0,2812.0,2225.0,2175.0,False,False,False,False,True,0
1167,1.71,7600.0,5.0,1,1.0,,2250.9488592,2250.0,True,False,False,False,False,2
1168,2.9,14167.0,0.0,1,1.0,2047.0,,,False,False,False,False,True,2
1169,0.8,5856.0,7.0,1,1.0,1366.0,,,False,False,False,False,False,2
1170,0.9,7059.0,8.0,1,1.0,,1274.9851394999998,1039.0,False,False,False,False,False,0
1171,5.5,8982.0,19.0,1,1.0,,5009.9542704,,True,False,True,False,False,2
1172,1.95,21195.0,0.0,0,2.0,,8280.0,,False,False,False,False,False,0
1173,0.63,5590.0,2.0,1,1.0,1134.0,,,False,True,False,False,False,0
1174,4.1,23401.0,25.0,1,1.0,2344.0,2343.0,1752.0,True,True,False,False,False,1
1175,1.16,6387.0,8.0,1,1.0,,,1815.9792561,True,False,False,False,False,2
1176,0.36,3789.0,4.0,1,1.0,,,950.0226966,False,False,False,False,False,0
1177,1.3,6510.0,16.0,1,1.0,,1997.0282223,,False,False,False,False,False,0
1178,10.0,14285.0,0.0,0,4.0,,6999.9859512,,True,False,False,False,False,1
1179,0.26,6032.0,8.0,1,1.0,431.0,,380.44,False,False,False,False,False,0
1180,11.5,42032.0,0.0,0,4.0,,2736.0,,True,True,True,False,False,2
1181,0.85,6724.0,10.0,1,1.0,1264.0,,730.0,False,False,False,False,False,0
1182,5.5,14612.0,5.0,1,1.0,3764.0,,,True,False,False,False,True,2
1183,0.4,6421.0,4.0,1,1.0,,623.0151108,599.0,False,False,False,False,False,0
1184,1.55,9011.0,4.0,1,1.0,1720.0,1400.0,1095.0,True,False,False,False,False,2
1185,0.74,6200.0,12.0,1,1.0,,,1209.9711231,False,False,False,False,False,0
1186,1.0,7500.0,3.0,1,1.0,,,1339.9991558999998,False,False,False,False,False,0
1187,1.65,9091.0,12.0,1,1.0,,1815.0105042,,False,False,False,False,False,0
1188,3.2,13519.0,0.0,0,1.0,,2367.0,,False,False,False,False,False,2
1189,2.7,11489.0,9.0,1,1.0,2350.0,,,True,False,True,False,False,2
1190,2.68,17213.0,0.0,0,3.0,,1557.0,,False,False,False,True,False,2
1191,1.25,4715.0,6.0,1,1.0,,,2651.0433938999995,False,False,False,False,False,2
1192,1.05,5011.0,3.0,1,1.0,2095.0,,,False,True,False,False,False,0
1193,1.35,12222.0,0.0,0,3.0,,2052.0,,False,False,False,False,False,0
1194,1.86,7654.0,6.0,1,1.0,2430.0,,,True,False,False,False,False,2
1195,0.34,5405.0,0.0,1,1.0,,,629.0429003999999,False,False,False,False,False,0
1196,1.3,5600.0,17.0,1,1.0,,1864.9550466,,False,False,False,False,False,2
1197,1.2,13369.0,11.0,1,1.0,,,76.44,False,False,False,False,False,0
1198,1.25,6476.0,2.0,1,1.0,1930.0,,,True,False,True,False,False,0
1199,2.45,14040.0,15.0,1,1.0,1745.0,1460.0,1320.0,False,False,False,False,False,0
1200,1.1,5405.0,9.0,1,1.0,2035.0,,1760.0,True,True,False,False,False,0
1201,1.15,5500.0,2.0,1,1.0,,2000.0421171,,True,False,False,False,True,0
1202,0.55,5500.0,14.0,1,1.0,1000.0,,745.0,False,True,False,False,False,1
1203,1.55,7948.0,6.0,1,1.0,1950.0,,1161.0,True,True,True,False,True,0
1204,2.1,13925.0,12.0,1,1.0,1508.0,1500.0,1200.0,False,False,False,False,True,2
1205,1.39,7227.0,4.0,1,1.0,1920.0,,,False,True,False,False,False,2
1206,5.0,10416.0,0.0,1,1.0,,,4799.9503863,True,True,False,False,False,0
1207,1.72,9052.0,4.0,1,1.0,1900.0,1600.0,1240.04,True,False,False,False,False,2
1208,1.31,8100.0,3.0,1,1.0,1617.0,,,False,True,False,False,False,0
1209,1.25,6377.0,8.0,1,1.0,1960.0,,,False,False,False,False,False,0
1210,1.35,8181.0,5.0,1,1.0,1650.0,,1022.58,True,False,False,False,False,0
1211,1.75,8205.0,7.0,1,1.0,1950.0,,1161.0,True,False,True,False,False,0
1212,2.1,8750.0,5.0,1,1.0,2400.0,,1850.0,True,False,False,False,False,2
1213,2.02,8080.0,2.0,1,1.0,2500.0,,,False,False,False,False,False,0
1214,0.8,4694.0,1.0,1,1.0,,,1704.0345920999998,False,False,False,False,False,0
1215,4.0,29630.0,0.0,0,2.0,,1350.0,,False,False,False,True,False,0
1216,0.84,6746.0,7.0,1,1.0,1245.0,,,False,False,False,False,False,2
1217,1.35,8231.0,7.0,1,1.0,1640.0,,,False,False,True,False,False,0
1218,1.6,6286.0,9.0,1,1.0,2545.0,,,True,False,False,False,False,0
1219,13.0,1992.0,0.0,0,1.0,,,65249.9613072,False,False,False,False,False,0
1220,1.9,10555.0,8.0,1,1.0,1920.0,1850.0,1800.0,True,False,False,False,False,2
1221,0.48,50000.0,0.0,0,1.0,,795.0,720.0,False,True,True,False,True,0
1222,5.0,21124.0,0.0,0,3.0,,2367.0,,True,False,False,True,False,2
1223,2.2,6406.0,15.0,1,1.0,3434.0,,,True,False,False,False,False,0
1224,0.86,6408.0,16.0,1,1.0,1342.0,,,False,False,False,False,False,2
1225,0.78,5735.0,8.0,1,1.0,1360.0,,,False,False,False,False,False,0
1226,0.3,8290.0,5.0,1,1.0,,,361.88265419999993,False,False,False,False,False,0
1227,2.0,8333.0,7.0,1,1.0,2400.0,,1950.0,True,False,False,False,False,2
1228,0.55,7355.0,4.0,1,1.0,,,744.9702110999999,False,False,False,False,False,0
1229,2.8,161849.0,0.0,0,2.0,,160.0,150.0,False,False,True,False,False,2
1230,2.21,10365.0,3.0,1,1.0,2132.0,,1650.0,True,False,False,False,False,1
1231,1.65,8461.0,9.0,1,1.0,1950.0,,,True,False,False,False,False,0
1232,4.45,10595.0,8.0,1,1.0,4200.0,3850.0,3600.0,True,True,True,False,True,2
1233,1.25,8784.0,3.0,1,1.0,1423.0,,,False,True,False,False,True,0
1234,6.25,34722.0,0.0,0,2.0,,1800.0,,True,False,True,False,False,2
1235,1.69,8522.0,7.0,1,1.0,1983.0,,,False,False,False,False,False,0
1236,1.35,9375.0,3.0,1,1.0,,,1439.9958798,False,False,True,False,False,0
1237,1.5,6775.0,1.0,1,1.0,,,2214.0286479,False,False,False,False,False,0
1238,6.0,315789.0,0.0,0,2.0,,,1600.0,False,False,False,False,False,0
1239,1.25,6313.0,2.0,1,1.0,1980.0,,,True,False,False,False,False,0
1240,0.56,4729.0,1.0,1,1.0,,,1184.0301,False,False,False,False,False,2
1241,0.95,5937.0,13.0,1,1.0,,,1599.9475823999996,False,False,False,False,False,0
1242,0.65,4596.0,3.0,1,1.0,,,1413.9472176,False,False,False,False,False,0
1243,4.0,21786.0,0.0,0,4.0,,1836.0,,True,True,True,False,True,2
1244,2.1,15418.0,2.0,1,1.0,1362.0,,,False,False,False,True,False,2
1245,1.13,6406.0,18.0,1,1.0,1760.0,1186.0,1130.0,True,True,False,False,False,0
1246,11.0,33951.0,0.0,0,3.0,,3240.0,,True,True,True,False,False,1
1247,4.21,11835.0,14.0,1,1.0,3557.0,,,True,False,True,False,False,0
1248,10.0,229885.0,0.0,0,1.0,,,434.9696030999999,False,False,False,False,False,0
1249,1.4,8000.0,12.0,1,1.0,1750.0,,,False,False,False,False,True,0
1250,1.3,14541.0,30.0,1,1.0,1400.0,,894.0,False,False,False,False,False,0
1251,1.4,9395.0,2.0,1,1.0,,,1490.0480613,False,False,False,False,False,2
1252,1.4,8000.0,9.0,1,1.0,1750.0,,,False,False,False,False,False,0
1253,2.6,10833.0,4.0,1,1.0,2400.0,,,True,False,False,False,False,0
1254,1.65,15263.0,1.0,1,1.0,1081.0,,,False,False,False,False,False,0
1255,2.28,8204.0,8.0,1,1.0,2779.0,,,False,False,False,False,False,0
1256,0.8,5925.0,0.0,1,1.0,,1350.0095921999998,,False,False,False,False,False,0
1257,,,11.0,1,1.0,,,577.1608541999999,False,False,False,False,False,0
