,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
73,3.1,12444.0,4.0,1,1.0,2491.0,2450.0,2250.0,True,False,False,False,False,2
74,1.45,6141.0,7.0,1,1.0,2361.0,1900.0,,True,False,False,False,False,0
75,0.49,4909.0,2.0,1,1.0,,,998.0297352,False,False,False,False,False,0
76,1.1,11482.0,9.0,1,1.0,89.0,,,False,False,False,False,False,0
77,2.6,8813.0,16.0,1,1.0,3150.0,,2950.0,True,False,False,False,False,2
78,2.9,12169.0,5.0,1,1.0,2383.0,,,True,False,False,False,False,0
79,0.8,11111.0,0.0,1,1.0,,719.9979399,,False,False,False,False,False,0
80,2.2,11500.0,7.0,1,1.0,1930.0,,,False,False,True,False,False,1
81,4.5,10714.0,17.0,1,1.0,4200.0,,,True,False,False,False,False,2
82,6.25,6944.0,0.0,0,1.0,,9000.0,,False,False,False,False,False,0
83,1.4,8484.0,4.0,1,1.0,1650.0,,,True,False,False,False,False,2
84,0.85,6741.0,14.0,1,1.0,,1260.9920565,,False,False,False,False,False,0
85,2.25,25000.0,0.0,0,3.0,,900.0,,False,False,False,False,False,0
86,7.0,11000.0,6.0,1,1.0,6000.0,,,True,False,False,False,False,0
87,4.75,9374.0,0.0,0,1.0,,5067.0,,True,True,True,False,False,2
88,0.25,5198.0,0.0,1,1.0,,481.0391379,,False,False,False,False,False,0
89,3.5,16470.0,6.0,1,1.0,2200.0,2150.0,2125.0,True,False,False,False,False,0
90,1.25,6778.0,12.0,1,1.0,1844.0,,,True,False,False,False,True,0
91,2.5,11944.0,11.0,1,1.0,2093.0,,,False,False,True,False,False,2
92,1.47,12782.0,4.0,1,1.0,,,1150.0161444,False,True,False,False,False,0
93,1.6,13913.0,3.0,1,1.0,,,1150.0161444,False,True,False,False,False,0
94,1.51,7869.0,7.0,1,1.0,1920.0,,,True,False,False,False,False,2
95,1.51,7890.0,8.0,1,1.0,1920.0,,,True,False,False,False,False,0
96,1.4,11666.0,0.0,1,1.0,1368.0,,1200.0,False,False,False,False,False,0
97,0.7,4615.0,9.0,1,1.0,1352.0,,,False,True,False,False,True,0
98,1.25,8445.0,0.0,1,1.0,1480.0,,,False,True,False,False,False,0
99,2.25,8704.0,14.0,1,1.0,2585.0,,,True,False,False,False,False,0
100,0.65,5265.0,14.0,1,1.0,1225.0,,776.0,False,False,False,False,False,0
101,1.0,74074.0,0.0,0,3.0,,3750.0,,False,False,True,True,False,0
102,1.48,7400.0,1.0,1,1.0,2000.0,,1294.0,True,False,False,True,False,2
103,0.4,9259.0,0.0,0,1.0,,3888.0,,False,False,False,False,False,0
104,2.35,9791.0,10.0,1,1.0,,,2400.0290127,True,False,False,False,False,2
105,0.9,8159.0,2.0,1,1.0,1103.0,,,False,True,False,False,True,0
106,0.84,7119.0,7.0,1,1.0,,1180.0474533,,False,False,False,False,False,0
107,3.0,6134.0,25.0,1,1.0,4890.0,,,True,False,True,False,False,2
108,5.5,28424.0,0.0,0,1.0,,1935.0,,False,False,False,False,True,0
109,3.25,9558.0,11.0,1,1.0,3400.0,,,True,False,False,False,True,0
110,0.9,4931.0,11.0,1,1.0,1825.0,,,False,False,False,False,False,0
111,1.4,6086.0,8.0,1,1.0,,,2300.0322888,False,False,False,False,False,2
